"","Condition","condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"22","Condition","Handr",0.0915329789391112,0.0171037901329634,0.752613369923874,0.0113187587760999,0,0,0,0.866055201620276,0,0.34983490479911,0,7.91898841706996e-16,0.239401427144533,0.591272918803935,0
"23","Condition","MRF",0,0.015446721825209,2.28030104907947e-05,0.435011427969203,0.0230400574348312,1.94985438511475e-08,0.432468858927609,0,0,0.612643903078177,0.825630006766692,0.205153170092464,0,0,0
"24","Condition","NDE",0,0.566190076990676,0,0,0,0,0,0,0.284063196956374,0,0.350138069078355,0.746272239322569,0,0.591272918803935,0
"25","Condition","Paxillin",0.0915329789391112,0.14473578846376,0,0.0911061029819534,0.98315889814949,0.322162240296597,0,0.866055201620276,0.841325567369909,0.9774092406534,0.703039699280469,0,0.49729431838196,0.591272918803935,0
"26","Condition","Rab5",0,0.353272977897206,0.524862110079065,0.94998699565973,0.654325588643607,0.521679670599039,0,0,0.775717827639008,0,0.825630006766692,0.183447926957535,0,0.85262005140847,0
"27","Condition","Rabep",0,0.947467454113402,0.534786152066158,0.107463771362896,0.98315889814949,0,0,0,0,0,0.825630006766692,0,0,0,0
"28","Condition","Rho",0.783659462876419,0.824274687440294,0.220856514784362,0,0.98315889814949,0.336104914384007,0,0.866055201620276,0,0.612643903078177,0.66127822784679,0.546874543062076,0,2.12448984404633e-05,0
"29","Condition","RNF149",0.169263541007488,0.14473578846376,0.711846850575829,0.910523880246257,0.402593176199299,0.456541954210889,0,0.792258542695536,0.547222856630572,0.225868695348129,0,0,0,0.989385530554532,0
"30","Condition","Rock",0,0.678397074354138,0,0,0.98315889814949,0.891061007268798,0,0.994613883323399,0.0107432709434071,0.9774092406534,0,0,0,0,0
"31","Condition","TLE",0,0.960542931332746,0.548417998200637,0,0.98315889814949,0,0.0114612457102686,0.415086383105411,0,0.9774092406534,0,0,0,0,0
"32","Condition","Tol",0,0.0879236529743368,0.0687214631386817,0.0572785788093656,0.492703899324912,0.00583674422198499,0.380658739692596,0,0,0.938346391830774,0.61683577542584,0.807466117593315,0,0,0.878013012053882
"33","Condition","Tyrosinase",0,0.354290255784749,0.752613369923874,0,0.879074382104458,0,0.947715151525315,0.894590977973805,0.864515605991598,0.160597822341589,0.81345395939714,0,0.173020878024188,0.929585698802694,0
"34","Condition","Vangl",0.946728783991391,0.947467454113402,0.85436742484545,0,0,0.785249804043815,0.232522388549817,0.866055201620276,0.840277281727389,0.9774092406534,0.657174637346988,0,0,0,0
