"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"ATM.Cell.Ellipticity..oblate..min",1,1,8.14014286635234e-06,9.6497502929994e-10,0.776587126273746,1.91336264544855e-43,0.0013825308177673,0.621061261571085,0.0753560785196757,1,0.391681127925031,0.000118091767409366,1,1,0.006172138430359
"ATM.Cell.Ellipticity..oblate..max",0.551417839832221,0.144832340510774,4.68877372194439e-34,1.12800591677104e-09,7.44676851898832e-15,3.04201506027051e-57,9.12385190420945e-18,1.2034708027441e-19,0.000100759574084197,1,4.75959429360292e-11,9.18069711375387e-07,1,1,0.00753706746878497
"ATM.Cell.Ellipticity..oblate..mean",1,0.266613064154087,5.195485025777e-27,1.00505666202402e-11,1.63559699137811e-06,7.00174282558786e-51,4.01374051086801e-11,3.98722644173393e-13,0.000294694126363194,1,9.78629946903058e-06,4.11804541598052e-07,1,1,0.00313134592159063
"ATM.Cell.Ellipticity..oblate..SD",0.000544311525414768,0.137523353556339,7.53094560581348e-16,0.194039854372372,NA,NA,1.31282634649679e-41,2.6465235124525e-11,0.00715187240160556,0.0154465152282429,7.30119826497728e-41,0.283731843150588,1,1,1
"ATM.Cell.Ellipticity..prolate..min",2.43599801193432e-08,0.112007889036576,6.81134629016773e-14,1,1.53290248385414e-16,3.48767759377993e-38,1.03645552535406e-19,9.96267975377811e-06,1,1,4.44750183256072e-10,1,1,1,1
"ATM.Cell.Ellipticity..prolate..max",0.000544311525414768,0.000175244341945093,0.00062484834964472,1,0.0246553190965361,5.90277315814205e-46,3.01163935961759e-06,0.00032749803923042,0.238137385759902,0.203378737913203,0.132960456603075,1,1,0.1179381021396,1
"ATM.Cell.Ellipticity..prolate..mean",2.46926754844349e-06,0.00140106338332211,0.13055721649438,1,9.15032860577025e-09,3.00443495335739e-42,2.87442960782456e-13,1,1,1,1.16225666650723e-05,1,1,0.20566229758381,1
"ATM.Cell.Ellipticity..prolate..SD",0.743580608773277,0.149783393487126,5.23435934526866e-20,0.47246692697876,NA,NA,1.37980952417685e-48,1.51273709251615e-08,0.000525238387040038,0.000968659955488641,8.87360005418525e-34,1,1,1,1
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",0.7595391763171,1,0.865080377787653,1,0.401471567245337,4.88151884411051e-42,2.03800338318888e-11,1,1,1,0.0552786112861687,1,0.185350140325617,1,0.104116789427404
"ATM.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",3.01956502982659e-06,1,6.90860997593427e-15,1,3.26878431855503e-11,1.55744038869955e-50,2.21076079378678e-05,3.75538629589218e-09,0.105922576834346,1,1,0.0537782050822268,0.0391109469392032,1,1
