"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"ATM.Nucleus.Sphericity.min",14,145.90099406279,10.4214995759136,12.1923403407547,7.2409747289016e-27,981.262102170633,0.854757928720063,1.0191001470306e-26
"ATM.Nucleus.Sphericity.max",14,132.671823582471,9.47655882731933,12.8869917956117,1.41785803470457e-28,844.191546507162,0.735358489988817,2.07225405072207e-28
"ATM.Nucleus.Sphericity.mean",14,95.8109809036375,6.84364149311697,8.50502544961214,9.86695661593603e-18,923.748021760072,0.804658555540133,1.19663090874118e-17
"ATM.Nucleus.Sphericity.SD",14,42.4568130842871,3.03262950602051,3.64934345061918,5.55208724955731e-06,953.995895431779,0.831006877553815,5.70214366170751e-06
"ATM.Nucleus.Volume.frac.min",14,897.136797252308,64.0811998037363,98.0947103613134,1.00980356933347e-184,749.940716514944,0.653258463863192,5.00511334365285e-184
"ATM.Nucleus.Volume.frac.max",14,358.475812308246,25.6054151648747,24.6148892229166,2.94591160189634e-56,1194.19658333905,1.04024092625353,6.45834466569583e-56
"ATM.Nucleus.Volume.frac.mean",14,735.856350883927,52.5611679202805,69.0067776135067,2.89695529015812e-141,874.41006317431,0.761681239698877,1.06533194541299e-140
"ATM.Nucleus.Volume.frac.SD",14,331.856411267798,23.7040293762713,30.2551856504293,1.04375165658565e-68,899.423524891617,0.783469969417785,2.70426565569918e-68
"TVC.Cell.Ellipticity..oblate..min",14,247.55885107112,17.6827750765086,20.3376975547609,1.94440329532896e-46,998.137853765054,0.869458060770953,3.63380287979511e-46
"TVC.Cell.Ellipticity..oblate..max",14,87.0540240173742,6.21814457266959,6.59540254268836,5.21067652058619e-13,1082.33423558632,0.94279985678251,6.00017296309925e-13
"TVC.Cell.Ellipticity..oblate..mean",14,41.4968363513616,2.96405973938297,3.09575148777637,9.34468607141912e-05,1099.16464362447,0.957460490962085,9.42738240833434e-05
"TVC.Cell.Ellipticity..oblate..SD",14,71.0068339749979,5.07191671249985,4.80863929495678,1.11865574488437e-08,1210.85405429691,1.0547509183771,1.1918388309983e-08
"TVC.Cell.Ellipticity..prolate..min",14,258.299347499028,18.4499533927877,18.0943008557771,3.71371643974197e-41,1170.56451441493,1.01965550036144,6.61505740829038e-41
"TVC.Cell.Ellipticity..prolate..max",14,213.769298769238,15.2692356263741,15.6878064276731,2.14390302861473e-35,1117.36988723652,0.973318717104982,3.54210065597217e-35
"TVC.Cell.Ellipticity..prolate..mean",14,81.6323468197937,5.83088191569955,5.2581579674976,9.40141875913583e-10,1273.04133512154,1.10892102362503,1.0207254652776e-09
"TVC.Cell.Ellipticity..prolate..SD",14,121.556267895186,8.68259056394184,8.0060874383983,1.70622678304604e-16,1245.00438498825,1.08449859319534,2.00525621924999e-16
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.min",14,161.909830290704,11.5649878779074,9.78389628687583,6.58755932973639e-21,1356.98557042628,1.18204317981383,8.2525468526368e-21
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.max",14,415.333113954685,29.6666509967632,32.3992491994623,2.69437761872723e-73,1051.17606690865,0.915658594868164,7.14323368685823e-73
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",14,341.390186417879,24.3850133155628,28.508029503088,6.54129590081496e-65,981.968791748085,0.855373511975683,1.58661219721895e-64
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",14,188.224578507381,13.4446127505272,11.0419342391944,5.0148322063681e-24,1397.79997808893,1.21759579972903,6.4964871764314e-24
"TVC.Cell.Sphericity.min",14,202.983410055837,14.4988150039883,18.3105825778471,1.1397965268678e-41,909.017479581235,0.791827072805954,2.06248895337983e-41
"TVC.Cell.Sphericity.max",14,298.734993156124,21.338213796866,24.3303503355961,1.29497111057783e-55,1006.8194292691,0.877020408770996,2.73382790010876e-55
"TVC.Cell.Sphericity.mean",14,250.181020732646,17.8700729094747,21.6771248822991,1.50796043207361e-49,946.382133768524,0.824374680983035,2.96392222855848e-49
"TVC.Cell.Sphericity.SD",14,110.073355815254,7.86238255823245,8.34163125586268,2.51023823480911e-17,1082.04437477468,0.942547364786306,3.01228588177093e-17
"TVC.Cell.Volume.frac.min",14,921.692870392993,65.8352050280709,94.0499115427719,4.13487381259564e-179,803.603258444893,0.700002838366632,1.88550245854361e-178
"TVC.Cell.Volume.frac.max",14,832.999534738507,59.4999667670362,103.835552487452,1.77042906599541e-192,657.828269915665,0.57302114104152,1.00914456761739e-191
"TVC.Cell.Volume.frac.mean",14,854.442464622194,61.031604615871,106.383033676584,7.61412226096713e-196,658.603911522422,0.573696787040437,4.56847335658028e-195
"TVC.Cell.Volume.frac.SD",14,514.086142380157,36.7204387414398,36.7391651609648,2.38546642533862e-82,1147.41484980618,0.999490287287613,6.79857931221506e-82
"TVC.Nucleus.Ellipticity..oblate..min",14,182.669114457409,13.0477938898149,14.7383966220284,4.26747575729859e-33,1016.31593786258,0.885292628800156,6.75683661572277e-33
"TVC.Nucleus.Ellipticity..oblate..max",14,141.198024308495,10.0855731648925,11.4365560616626,5.30203498499409e-25,1012.38851371602,0.881871527627195,7.11096456810972e-25
"TVC.Nucleus.Ellipticity..oblate..mean",14,70.0496013790297,5.00354295564498,5.50432419212706,2.39494540514041e-10,1043.55541435882,0.909020395782946,2.65071627365055e-10
"TVC.Nucleus.Ellipticity..oblate..SD",14,77.9020665839433,5.56443332742452,5.24476280715237,1.0125548771549e-09,1217.97108749551,1.06095042464765,1.08897411316659e-09
"TVC.Nucleus.Ellipticity..prolate..min",14,124.629815913079,8.90212970807705,9.19933646516181,1.86270444981111e-19,1110.91109055252,0.967692587589302,2.28331513202652e-19
"TVC.Nucleus.Ellipticity..prolate..max",14,208.24443783346,14.87460270239,17.0747625347096,9.97268964403341e-39,1000.07504453614,0.871145509177819,1.72255548396941e-38
"TVC.Nucleus.Ellipticity..prolate..mean",14,87.7660119022508,6.26900085016077,6.58951784095056,5.38709412395009e-13,1092.16078470263,0.951359568556301,6.14128730130311e-13
"TVC.Nucleus.Ellipticity..prolate..SD",14,115.644453691079,8.26031812079133,8.08928977415075,1.06101858346658e-16,1172.27166629273,1.02114256645708,1.25995956786657e-16
