"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Sum Sq_residual","Mean Sq_residual","FDR"
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.mean",33,1.04068632648426,0.0315359492874018,23.7385625293575,6.92994688702582e-106,1.49984173226349,0.00132846920483923,7.76154051346892e-104
"TVC.Cell.Nucleus.to.Cytoplasm.Volume.Ratio.SD",33,0.138956230399751,0.00421079486059851,5.00336854012553,6.30226760887448e-18,0.950157350890734,0.000841591984845646,1.5685643826532e-17
"TVC.Cell.Sphericity.min",33,0.865003679364521,0.0262122327080158,4.75428513225171,1.16375849277973e-16,6.22461840300559,0.00551339096811832,2.6068190238266e-16
"TVC.Cell.Sphericity.max",33,0.502026542118472,0.0152129255187416,6.13489598738086,9.75462594122349e-24,2.79962251128431,0.00247973650246618,4.37007242166812e-23
"TVC.Cell.Sphericity.mean",33,0.553696663576055,0.016778686775032,5.58530978891353,6.60233152670207e-21,3.39160012334714,0.00300407451137922,2.11274608854466e-20
"TVC.Cell.Sphericity.SD",33,0.0628990801123685,0.00190603273067783,2.16827299417713,0.000164523026433458,0.992453883212219,0.000879055698150769,0.000198135257640293
"TVC.Cell.Volume.frac.min",33,0.419753793890174,0.0127198119360659,6.3516959636922,7.42182748800232e-25,2.26091862046095,0.00200258513769792,3.61410729850548e-24
"TVC.Cell.Volume.frac.max",33,1.14211691928914,0.0346096036148226,10.6785816450145,6.4357321027736e-47,3.6591228854234,0.00324103001366112,1.02971713644378e-45
"TVC.Cell.Volume.frac.mean",33,0.580078452651322,0.0175781349288279,9.50349639567499,5.1337083448017e-41,2.08825399709505,0.00184964924454832,5.74975334617791e-40
"TVC.Cell.Volume.frac.SD",33,0.140915358287255,0.00427016237234106,8.71523560121372,5.19096064197869e-37,0.553170739033339,0.000489965225007386,5.28534174456012e-36
"TVC.Nucleus.Ellipticity..oblate..min",33,0.29687176346888,0.00899611404451152,2.09141777228749,0.000328540508103115,4.85632898927922,0.00430144286030046,0.000383297259453634
"TVC.Nucleus.Ellipticity..oblate..max",33,0.566632142368118,0.0171706709808521,2.29177490610213,5.25100115432321e-05,8.45880958281077,0.00749230255341964,6.83851313121163e-05
"TVC.Nucleus.Ellipticity..oblate..mean",33,0.194037686147161,0.00587992988324729,1.73047886618095,0.00667448418853418,3.83618717796698,0.00339786286799556,0.00725769154481386
