"Row.names","Condition","Phenotype","migration.perturbed","orientation.perturbed","division.perturbed"
"Foxf.slide1_image4.2020_02_06","Foxf","migration/division perturbed",TRUE,FALSE,TRUE
"Foxf.slide1_image5.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image6.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image7.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide1_image8.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide1_image9.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image1.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image10.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image11.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image12_left.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image12_right.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image13.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image14_left.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image14_right.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image15.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image16.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide2_image18.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image19.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image2.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image20.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image21.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image22.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image24.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image25_left.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image26.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image27_left.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image28.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image29.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image3_left.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image30_right.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image31_left.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image32.2020_02_06","Foxf","migration/orientation perturbed",TRUE,TRUE,FALSE
"Foxf.slide2_image5.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image6.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image7.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Foxf.slide2_image8.2020_02_06","Foxf","WT",FALSE,FALSE,FALSE
"Foxf.slide2_image9.2020_02_06","Foxf","orientation perturbed",FALSE,TRUE,FALSE
"Gata.image1.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image1.2020_06_17.1","Gata",NA,NA,NA,NA
"Gata.image2_left.2020_06_17","Gata","migration/orientation perturbed",TRUE,TRUE,FALSE
"Gata.image2_right.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image2.2020_06_17","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.image3.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image3.2020_06_17.1","Gata",NA,NA,NA,NA
"Gata.image4_left.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image4_right.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image4.2020_06_17","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.image5.2020_06_17","Gata","migration/orientation perturbed",TRUE,TRUE,FALSE
"Gata.image5.2020_06_17.1","Gata",NA,NA,NA,NA
"Gata.image6_left.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image6_right.2020_06_17","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.image7_left.2020_06_17","Gata","WT",FALSE,FALSE,FALSE
"Gata.image7_right.2020_06_17","Gata","migration perturbed",TRUE,FALSE,FALSE
"Gata.slide1_image1.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image10_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image10_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image11_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image11_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image12.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image13.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image14_left.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide1_image14_right.2020_02_06","Gata","orientation perturbed",FALSE,TRUE,FALSE
"Gata.slide1_image15_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image15_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image16_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image17.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image18_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image18_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image19_left.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image19_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image2.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image20_left.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide1_image20_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image3_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image3_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image5.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide1_image6_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image6_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image7_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image7_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide1_image9.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image1.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide2_image10.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image11_left.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image11_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image12_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image12_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image13.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image14.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image15_left.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image15_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image16_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image16_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image17_left.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide2_image17_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image18_left.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide2_image18_right.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image19_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image2_left.2020_02_06","Gata","orientation perturbed",FALSE,TRUE,FALSE
"Gata.slide2_image2_right.2020_02_06","Gata","orientation perturbed",FALSE,TRUE,FALSE
"Gata.slide2_image20.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image21.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image22.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image23.2020_02_06","Gata","division perturbed",FALSE,FALSE,TRUE
"Gata.slide2_image3_left.2020_02_06","Gata","orientation perturbed",FALSE,TRUE,FALSE
"Gata.slide2_image3_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image4_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image5.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image6.2020_02_06","Gata","migration/division perturbed",TRUE,FALSE,TRUE
"Gata.slide2_image7_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image7_right.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image8_left.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Gata.slide2_image9.2020_02_06","Gata","WT",FALSE,FALSE,FALSE
"Rho.image1.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image10_left.2020_06_17","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.image10_right.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image11_right.2020_06_17","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.image12_left.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image13_right.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image14.2020_06_17","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.image15.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image16.2020_06_17","Rho","division/orientation perturbed",FALSE,TRUE,TRUE
"Rho.image17_left.2020_06_17","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.image17_right.2020_06_17","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.image18.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image19_left.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image19_right.2020_06_17","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.image2_left.2020_06_17","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.image2_right.2020_06_17","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.image20.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image3.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image4.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image5.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image6.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image7.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image8.2020_06_17","Rho","WT",FALSE,FALSE,FALSE
"Rho.image9.2020_06_17","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.slide1_image10_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image10_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image11.2020_02_06","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.slide1_image12_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image12_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image13_left.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide1_image14.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image15_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image16.2020_02_06","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.slide1_image18_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image18_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image19.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image2.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image20.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image21.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image22.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image23.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image24_right.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide1_image28_left.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide1_image29_left.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide1_image3.2020_02_06","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.slide1_image30_left.2020_02_06","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.slide1_image31.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image4.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image5_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image5_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image6.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image7.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image8.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide1_image9.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image1.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide2_image10.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image11.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image12_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image13_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image13_right.2020_02_06","Rho","division perturbed",FALSE,FALSE,TRUE
"Rho.slide2_image14_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image14_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image16_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image16_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image17.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image18.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image19.2020_02_06","Rho","migration perturbed",TRUE,FALSE,FALSE
"Rho.slide2_image20_left.2020_02_06","Rho","migration perturbed",TRUE,FALSE,FALSE
"Rho.slide2_image20_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image21.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide2_image22.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide2_image23_left.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image23_right.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image24.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image25.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image26.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image3.2020_02_06","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Rho.slide2_image4.2020_02_06","Rho","WT",FALSE,FALSE,FALSE
"Rho.slide2_image5.2020_02_06","Rho","migration/division perturbed",TRUE,FALSE,TRUE
"Rho.slide2_image6_left.2020_02_06","Rho","migration/division/orientation perturbed",TRUE,TRUE,TRUE
"Rho.slide2_image9.2020_02_06","Rho","orientation perturbed",FALSE,TRUE,FALSE
"Tyrosinase.image1_left.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image1_right.2020_06_17","Tyrosinase","migration perturbed",TRUE,FALSE,FALSE
"Tyrosinase.image1.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image1.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image10_right.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image10.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image10.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image10.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image11.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image11.2020_07_14","Tyrosinase","migration/division perturbed",TRUE,FALSE,TRUE
"Tyrosinase.image12.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image12.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image13.2020_01_10","Tyrosinase","migration/division perturbed",TRUE,FALSE,TRUE
"Tyrosinase.image13.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image14_left.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image14_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image14_right.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image15_left.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image15_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image15_right.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image15_right.2020_07_14","Tyrosinase","orientation perturbed",FALSE,TRUE,FALSE
"Tyrosinase.image16_left.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image16_left.2020_07_14","Tyrosinase","division perturbed",FALSE,FALSE,TRUE
"Tyrosinase.image16_right.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image16_right.2020_07_14","Tyrosinase","division perturbed",FALSE,FALSE,TRUE
"Tyrosinase.image17.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image17.2020_07_14","Tyrosinase","orientation perturbed",FALSE,TRUE,FALSE
"Tyrosinase.image2.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image2.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image2.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image3_left.2020_06_17","Tyrosinase","division perturbed",FALSE,FALSE,TRUE
"Tyrosinase.image3_left.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image3_right.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image3_right.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image3.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image3.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image4.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image5_left.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image5_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image5_right.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image5.2020_07_23","Tyrosinase","migration/division perturbed",TRUE,FALSE,TRUE
"Tyrosinase.image6_left.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image6_left.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image6_right.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image6.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image7_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image7_right.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image7.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image7.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image7.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image8_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image8.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image8.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image8.2020_07_23","Tyrosinase","migration perturbed",TRUE,FALSE,FALSE
"Tyrosinase.image9_left.2020_07_14","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image9_right.2020_07_14","Tyrosinase","migration/division perturbed",TRUE,FALSE,TRUE
"Tyrosinase.image9.2020_01_10","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image9.2020_06_17","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.image9.2020_07_23","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image1.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image10_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image10_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image11_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image11_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image12.2019_08_29","Tyrosinase","migration perturbed",TRUE,FALSE,FALSE
"Tyrosinase.slide1_image13.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image14.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image15.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image16.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image17.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image18_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image18_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image19_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image19_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image2_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image2_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image20.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image3_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image3_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image3.2020_02_06","Tyrosinase","migration/division perturbed",TRUE,FALSE,TRUE
"Tyrosinase.slide1_image4_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image4_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image4.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image5_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image5_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image5.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image6_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image6_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image6.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image7_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image7_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image7_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image7_right.2020_02_06","Tyrosinase","migration perturbed",TRUE,FALSE,FALSE
"Tyrosinase.slide1_image8_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image8_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image8_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image8_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image9_left.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide1_image9_right.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image1.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image1.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image10_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image10_right.2020_02_06","Tyrosinase","migration perturbed",TRUE,FALSE,FALSE
"Tyrosinase.slide2_image10.2019_08_29","Tyrosinase","orientation perturbed",FALSE,TRUE,FALSE
"Tyrosinase.slide2_image11_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image11_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image11.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image12_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image12_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image13_left.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image13_right.2020_02_06","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image13.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
"Tyrosinase.slide2_image14.2019_08_29","Tyrosinase","WT",FALSE,FALSE,FALSE
