"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Depdc.slide2_image11.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image12_left.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image12_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image12_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image12_right.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image13.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image14.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image15.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image16.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image17.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image19_left.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image2_left.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image2_left.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image2_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image2_right.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image20.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image21.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image3_right.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image3.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image4.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image5_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image5_right.2020_02_06","Depdc",NA,4,2,NA,NA,NA,1,1
"Depdc.slide2_image5.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image6.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image6.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image7_left.2020_02_06","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image7_right.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image7.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image8.2019_08_29","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image8.2020_02_06","Depdc","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Depdc.slide2_image9.2019_08_29","Depdc","WT",4,2,FALSE,FALSE,FALSE,1,1
"Depdc.slide2_image9.2020_02_06","Depdc","migration/orientation perturbed",4,2,TRUE,TRUE,FALSE,1,1
"Eph.image1.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image10_right.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image11.2020_06_17","Eph","division/orientation perturbed",4,2,FALSE,TRUE,TRUE,1,1
"Eph.image12_left.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image14.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image16.2020_06_17","Eph",NA,4,2,NA,NA,NA,1,1
"Eph.image17_left.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image17_right.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
"Eph.image18_left.2020_06_17","Eph","WT",4,2,FALSE,FALSE,FALSE,1,1
