d,k,MSE,ES,precision,recall
32,56,0.04262756815067771,0.09240388796821922,0.11074127579816709,0.0006199190045871668
33,56,0.04247344934528931,0.11136184666737184,0.11205072146709762,0.0006263787819444657
34,56,0.042448116716126895,0.07881715501333983,0.11117148577335087,0.0006214637347615442
35,56,0.04252274231559811,0.07087197207432736,0.11170465340544634,0.0006244442143835539
36,56,0.04245521874770436,0.09963212392604862,0.1119751433976923,0.0006253764326408597
37,56,0.04248694402196605,0.15832775054946355,0.11136834334802176,0.0006216991224038748
38,56,0.04247086972504027,0.13355194339644808,0.11219940221012017,0.0006260478896855878
39,56,0.042546663082076684,0.13714843153156336,0.11319969123129182,0.0006316292815508261
40,56,0.0425322972279039,0.09576531151933992,0.1126010250599072,0.0006282888565054271
41,56,0.042892261769614665,0.09228635567622202,0.11234526259426127,0.0006274435326755534
42,56,0.042847893400439756,-0.043757272310567336,0.11201468819620364,0.0006241471326880043
43,56,0.042948538448264115,-0.06661730310402783,0.11239666474957954,0.0006259844902239824
44,56,0.04314337818101533,-0.08867811431190725,0.11191439680034718,0.0006232985363567194
45,56,0.043044775599187714,0.11957735387797788,0.11167191825226806,0.000621080639864407
46,56,0.04300829387162716,0.0602235464193787,0.11199021707950382,0.0006222709723383164
47,56,0.04299207964468738,0.11012775760140091,0.11208135115547484,0.0006227773566596128
48,56,0.04292030135376688,0.05990620923098618,0.11208927145700802,0.0006225311413180246
49,56,0.042941601159519546,-0.08609240388796827,0.11267940183564296,0.0006258086587232381
50,56,0.04292482234684942,0.10805918926224965,0.11235759098298174,0.0006243122766780217
51,56,0.04300644518872797,0.17767356581220686,0.1123943065359224,0.0006245162857729599
52,56,0.04316976212160118,0.12641773327221653,0.11267570421431866,0.0006263716079813943
53,56,0.04319696762708125,0.08501110680159363,0.11266392896923029,0.000626306148623924
54,56,0.04320572543000426,0.07569079604621362,0.11239771644603419,0.0006242442099155481
29,1,0.11420745246317386,-9.714451465470114e-17,NaN,0.0
29,2,0.07778184560849849,0.08373000481882378,0.1364031958251936,0.00038496458833777206
29,3,0.07149765880053714,-0.09006499535747449,0.12290599236198108,0.00046238997582171234
29,4,0.06810341700837035,-0.16945805860160085,0.11848280413812669,0.0005043440199346485
29,5,0.06540608142424789,0.12400832128627341,0.12431659840400759,0.0005658713776597689
29,6,0.0633331530631724,-0.0693440522783635,0.12366194737241347,0.0005862652651337308
29,7,0.06228759728754107,0.1849958276036341,0.12201943207560383,0.0005971185207834247
