Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
-0.2713968,-0.4794177,-0.109385006,0.02409646,0.46794766,0.22387037,0.34867236,-0.20465118,-0.49862212,-0.12731734,-0.2646515,-0.24764031,0.16304551,-0.5810511
-0.09330397,0.5620731,-0.087628536,-0.76127195,0.40070084,0.33718362,-0.19272858,0.27014533,0.16620742,-0.25071284,0.23903826,-0.025138928,-0.047219656,0.14199929
-0.37238955,-0.3305042,0.48330632,-0.6253564,-0.45282993,-0.37099054,0.24853976,-0.28524926,-0.10189636,0.3882567,0.25149953,0.15527098,0.25677288,-0.3694161
-0.53938806,0.087679155,-0.06362427,-0.42029846,-0.13983817,-0.005350669,-0.088169694,-0.31713295,0.11632662,-0.18177111,0.6216215,-0.16033214,0.31010956,-0.21686521
-0.16141298,0.71994436,-0.34215468,-0.32119304,-0.045357965,0.18465246,-0.461328,-0.43596968,-0.014091558,0.121818855,0.5241641,0.04792051,-0.05007477,-0.10016624
-0.17048338,0.12045204,-0.34102505,-0.7466888,-0.13404843,-0.15986562,-0.39071733,-0.08694307,-0.00968926,-0.30532342,0.12034538,-0.114762776,-0.15847044,-0.12848453
-0.5035359,-0.16179354,-0.35252157,-0.3749578,0.18296368,0.1912411,0.17233093,0.22064912,-0.04163272,-0.42894548,-0.46996212,-0.61696875,-0.3911799,0.119276494
-0.42372388,0.17644697,-0.43569165,-0.1032188,0.3440974,-0.48697877,0.1840887,-0.09002215,0.062079567,-0.42384973,-0.29617098,-0.17296888,-0.2977082,-0.13269582
-0.20630677,-0.053121015,-0.23218165,0.33030987,0.4795512,-0.09539317,0.114138685,0.11108588,0.27177486,-0.5255983,-0.102434926,-0.097073816,-0.42294872,0.015298617
-0.57928973,-0.08992541,-0.5358166,-0.5259175,-0.04208836,0.5720454,-0.27523166,0.31518653,0.43318683,-0.27939194,-0.2143196,-0.5571323,-0.08320321,-0.28521565
