"embedding1","embedding2","embedding3","embedding4","embedding5","embedding6","embedding7","embedding8","embedding9","embedding10","embedding11","embedding12","embedding13","embedding14"
0.15993237,0.25476345,0.6579297,0.5269041,0.43700367,-0.16430464,-0.20039532,-0.38000178,0.27062026,0.025654739,-0.04873529,-0.33525333,0.07905315,-0.5799233
0.30693334,-0.07856035,0.02547029,-0.33400396,-0.3291015,-0.12260148,-0.6414617,-0.48019168,0.49175528,0.045135487,-0.034206305,0.23734604,0.6157484,-0.14171414
-0.278106,0.38968268,0.25926435,-0.60703415,-0.13975814,-0.096893474,-0.2251864,0.05259415,-0.28185713,0.020301495,-0.050510995,0.49587902,-0.39063683,0.012668757
-0.2713968,-0.4794177,-0.109385006,0.02409646,0.46794766,0.22387037,0.34867236,-0.20465118,-0.49862212,-0.12731734,-0.2646515,-0.24764031,0.16304551,-0.5810511
-0.09330397,0.5620731,-0.087628536,-0.76127195,0.40070084,0.33718362,-0.19272858,0.27014533,0.16620742,-0.25071284,0.23903826,-0.025138928,-0.047219656,0.14199929
-0.37238955,-0.3305042,0.48330632,-0.6253564,-0.45282993,-0.37099054,0.24853976,-0.28524926,-0.10189636,0.3882567,0.25149953,0.15527098,0.25677288,-0.3694161
-0.53938806,0.087679155,-0.06362427,-0.42029846,-0.13983817,-0.005350669,-0.088169694,-0.31713295,0.11632662,-0.18177111,0.6216215,-0.16033214,0.31010956,-0.21686521
-0.16141298,0.71994436,-0.34215468,-0.32119304,-0.045357965,0.18465246,-0.461328,-0.43596968,-0.014091558,0.121818855,0.5241641,0.04792051,-0.05007477,-0.10016624
-0.17048338,0.12045204,-0.34102505,-0.7466888,-0.13404843,-0.15986562,-0.39071733,-0.08694307,-0.00968926,-0.30532342,0.12034538,-0.114762776,-0.15847044,-0.12848453
-0.5035359,-0.16179354,-0.35252157,-0.3749578,0.18296368,0.1912411,0.17233093,0.22064912,-0.04163272,-0.42894548,-0.46996212,-0.61696875,-0.3911799,0.119276494
-0.42372388,0.17644697,-0.43569165,-0.1032188,0.3440974,-0.48697877,0.1840887,-0.09002215,0.062079567,-0.42384973,-0.29617098,-0.17296888,-0.2977082,-0.13269582
-0.20630677,-0.053121015,-0.23218165,0.33030987,0.4795512,-0.09539317,0.114138685,0.11108588,0.27177486,-0.5255983,-0.102434926,-0.097073816,-0.42294872,0.015298617
-0.57928973,-0.08992541,-0.5358166,-0.5259175,-0.04208836,0.5720454,-0.27523166,0.31518653,0.43318683,-0.27939194,-0.2143196,-0.5571323,-0.08320321,-0.28521565
0.055623837,-0.031411964,0.32828158,-0.114613295,-0.5879313,-0.52197033,0.04693707,0.5370148,-0.1135027,0.30998033,-0.27844235,0.32629862,0.31389096,-0.18396714
-0.13860731,0.2808091,0.32537222,-0.43991122,-0.27841493,-0.18010192,-0.17714134,0.09670715,-0.23812526,-0.113406755,0.072805405,0.32109922,-0.42471787,-0.25230736
-0.21155125,0.19995968,-0.028751768,-0.46317306,-0.16533315,-0.23794878,-0.3445947,-0.028361076,0.24281381,0.1696558,-0.10409857,0.16284819,-0.35689723,-0.30442867
-0.57437474,-0.131434,-0.49767834,-0.49887344,-0.061935846,0.55779797,-0.3205845,0.42465052,0.41285664,-0.3432049,-0.13319893,-0.5362845,-0.1304875,-0.3346648
0.27252188,0.3893394,0.47584572,-0.34583113,-0.24167053,0.2891371,-0.33999923,-0.5373713,0.4692215,-0.141562,0.1606877,0.099270485,-0.5377223,-0.11146783
-0.43629465,0.4355785,-0.34572756,-0.74432623,0.36911967,-0.026417037,-0.39003637,-0.057936907,0.23605064,-0.15969343,0.3873233,-0.15068492,0.037374638,0.24022608
-0.20417742,0.20192465,-0.098010816,-0.47101513,-0.12574641,-0.16175672,-0.2675927,-0.10458026,0.23718373,0.17854986,-0.1065474,0.19807838,-0.36191815,-0.21519507
-0.2336635,0.31156936,0.045025155,-0.8231629,0.49267307,0.35485175,0.3369198,0.09225099,0.5437808,-0.29968262,0.0054674298,-0.16222496,0.3871613,0.13515224
-0.59515035,0.40428147,-0.57302386,-0.43997136,0.55603063,-0.15794587,-0.5582654,-0.54624736,-0.07493059,-0.15487403,0.22185265,-0.39342147,0.51246506,-0.42677584
-0.4480606,0.15158287,-0.3870578,-0.6622767,0.35007364,-0.01804564,-0.13864887,-0.121313505,0.3122229,-0.33635417,0.40121302,0.009293935,0.21760026,-0.058234446
-0.5987039,0.45829603,-0.5245186,-0.55475783,0.1350337,0.26576617,-0.06289478,-0.59215945,0.10450053,-0.3476934,0.35090202,-0.21345197,0.1325835,0.016810505
0.1680361,-0.46872056,-0.42097652,0.059701763,0.08280472,0.31014317,-0.00070021854,0.503586,0.102855794,-0.31041068,0.06793184,-0.6740827,-0.18169472,-0.19887371
-0.31283817,0.4063175,-0.3596502,-0.7519722,0.42523038,-0.050670397,-0.48900592,-0.04367917,0.16840814,-0.100491084,0.39873263,-0.12356886,0.03669766,0.16869143
-0.11380394,-0.57426745,-0.6013857,0.33435458,0.44658187,0.0066265017,-0.2479767,0.16161768,-0.47525072,-0.24160455,-0.38606712,-0.3250853,-0.47857684,0.015118378
-0.3855467,0.026912328,-0.7225495,-0.5506433,0.5771312,-0.01435159,0.27758488,0.010492947,0.11787315,-0.36751154,0.35319915,-0.3138454,-0.14432521,0.14557113
