d,k,MSE,ES,precision,recall
16,12,0.05450512071016732,-0.09320310755380039,0.11479774736991954,0.0006227118522795054
16,13,0.054252028640015396,-0.07391605843705554,0.11384663590922854,0.0006225637856543765
16,14,0.0536306050243216,0.10707191800947298,0.11402093460163228,0.0006261739604005584
16,15,0.05317629993211711,0.08789064795552577,0.11440241688059691,0.0006312310996244381
16,16,0.0523965619920251,-0.07899345345133572,0.11414656397202931,0.0006321838047521871
11,16,0.05536644086186359,-0.10435692206433739,0.11301800424909082,0.0006297376212897536
12,16,0.05532627574435242,-0.11910722470998907,0.11324723867316805,0.000632187808323193
13,16,0.05428216269523197,0.14058037445788246,0.11381087490226761,0.0006338608237742031
14,16,0.05313050501901574,0.12783987400538294,0.11279353039473422,0.0006258584202516608
15,16,0.052878364588752634,0.0664410046660319,0.11381106877839334,0.000629146984697345
16,16,0.0523965619920251,-0.07899345345133572,0.11414656397202931,0.0006321838047521871
17,16,0.05229182199566508,-0.08834902389431505,0.11283357021297617,0.000623159074881098
18,16,0.051973575217869016,0.08957135973108608,0.11670860819009517,0.0006421427191104259
19,16,0.052148043481422976,-0.058918937978209525,0.1183341181632701,0.0006492480797998253
20,16,0.052325505366329496,0.18067063925813617,0.11910991029009219,0.0006541213200004285
21,16,0.05236166026640492,-0.1326234382896702,0.11636515021486189,0.0006369387274328822
18,11,0.057302357279892045,-0.14940704958687406,0.1184093832952836,0.0006413831375544599
18,12,0.05567327641062327,0.07054288165673518,0.11608417839221816,0.0006314934099106468
18,13,0.05440983539999996,0.13477427923321939,0.1159603922849451,0.0006323212558570706
18,14,0.053739422816267556,-0.07758306594736908,0.1160368669543134,0.0006357427203309214
18,15,0.052692613973232987,0.0828014997120457,0.1173061111254266,0.000644822777718377
18,16,0.051973575217869016,0.08957135973108608,0.11670860819009517,0.0006421427191104259
18,17,0.05124380242119491,-0.0808622168940918,0.11606374499823328,0.0006388951308755825
18,18,0.05093226935090586,-0.11996521044156885,0.1155084439320281,0.0006385300655459121
18,19,0.05041993213315955,-0.0858573393039738,0.1156078856296896,0.0006408757874690987
18,20,0.050052831048285944,0.1024176392463831,0.11541005939109142,0.0006406755994948423
18,21,0.04961115532304487,0.08941856775148974,0.1155091067969643,0.0006418235991939366
13,21,0.05142551636594414,0.09638823266692519,0.11211061721107675,0.0006272941664590199
