d,k,invNES,MSE,ES,NES,precision,recall
7,10,0.6438678028931805,0.046379608100318166,0.601232962671463,1.553113846517191,0.10367309458218549,0.00584646933322286
7,11,0.6203677267087313,0.04586895190709767,0.6131337384583218,1.6119471676989892,0.10343100425745054,0.006416098763386292
7,12,0.6166801893369817,0.04526658066198884,0.6138478819275752,1.6215860624210117,0.10288490970309153,0.006962425171406674
7,13,0.6386214429610347,0.04491146233967017,0.5965008164441457,1.56587288294517,0.10242282969555697,0.007508751579427056
7,14,0.6191699742390936,0.044249217612024085,0.60974117659667,1.6150653965882529,0.10228912501639774,0.008075791784907927
7,15,0.6355075010763628,0.0439846354054868,0.6026530639127088,1.5735455495116804,0.10140801958983778,0.008578101373324772
7,16,0.6281999576310904,0.043503916447713634,0.6016799355065371,1.5918498367477585,0.10192837465564739,0.009196926072456863
7,17,0.6264922362530508,0.04317166899637124,0.6063577356767661,1.5961889743132955,0.10281964025279533,0.009857178366509933
7,18,0.6205314362292883,0.04285896502184162,0.6080276254485122,1.6115219014149942,0.1026936026936027,0.010424218571990803
7,19,0.62197500850361,0.042703874537708034,0.6052230538853587,1.6077816412686232,0.10287081339712918,0.011022329473662407
7,20,0.6142201823091028,0.0423587042757837,0.6078081379280362,1.6280806603270417,0.10296143250688705,0.011612672701286327
7,21,0.6120191257508776,0.04210245917406415,0.6118402828552305,1.6339358656040597,0.10245310245310245,0.012133106862481098
7,22,0.6162238475165553,0.04203512395772517,0.6070417918197999,1.622786920743333,0.10232490191167877,0.012694968618596847
7,23,0.6148983035074063,0.041794431569911604,0.6047022539325722,1.6262851829253018,0.10240747394897592,0.013282722621538207
7,24,0.6171180762361325,0.04163184855156623,0.6049882646790217,1.620435437735197,0.1025788184879094,0.01388342274789237
7,25,0.6172337925933503,0.04152083315216688,0.6000572614131312,1.6201316454149912,0.10268135904499541,0.014476355200198852
7,26,0.6097031337291012,0.04139158662135391,0.6062498109297264,1.640142463896721,0.10244048880412517,0.015020092383536673
7,27,0.612727337783695,0.04129905450956974,0.6006826017592972,1.6320473044619073,0.10228548107335986,0.015574186465604739
7,28,0.610853057032624,0.04120141231190893,0.6070109971362759,1.637054916050936,0.10201036337399974,0.016107566750212316
7,29,0.5973614464472778,0.041117248057339496,0.6161507954270262,1.6740283557758167,0.10246667299958837,0.01675746214553514
7,30,0.6118530187014132,0.04105962690133851,0.6046720014463439,1.634379449695915,0.1024946434037343,0.01734003769911138
7,31,0.6086991391098923,0.04101616306667966,0.6061036604347232,1.642847731742009,0.10226902455641458,0.017878596433084076
7,32,0.6002987668690313,0.0409769699757355,0.6131748535355764,1.6658371717398057,0.10234446740128558,0.018468939660708
7,33,0.6095375698989036,0.04094613417828472,0.6052283030203726,1.6405879627171422,0.10217881292261458,0.01901526606872838
7,34,0.6081255362313747,0.040896265262870414,0.604371407950485,1.6443973167072006,0.10187435855885053,0.01953311100524059
7,35,0.6062919075128879,0.040895463295528026,0.6045628127776578,1.6493705220347892,0.10170536534172898,0.02007425896389585
7,36,0.6145914806873998,0.0408540859991049,0.6035602404094277,1.627097074110975,0.10164779104173044,0.0206361207200116
7,37,0.609623097960163,0.04081996579637185,0.6055653806462504,1.6403577937680882,0.10155610155610155,0.021190214802079665
7,38,0.6085636495879303,0.04080031979855455,0.6055106778087279,1.6432134924212423,0.10149340292880962,0.021749487333512854
7,39,0.6082781949021139,0.04081651475462674,0.6068594000890513,1.643984624766836,0.10156341974523793,0.022337241336454212
7,40,0.6100674162947268,0.04081432201678909,0.6053088644928724,1.6391631044213886,0.10146923783287419,0.022888746193839717
7,41,0.6126805570184867,0.04083266868410849,0.600968764989562,1.632171918211902,0.10118927635557347,0.023396234231621682
7,42,0.6073623748666019,0.0408325526282465,0.6010485191167901,1.646463530474101,0.10096637369364642,0.023914079168133894
7,43,0.6010576100434378,0.04084385913884165,0.6082252372409235,1.663734030299909,0.10079654899950884,0.024442281003376348
7,44,0.6030975133509456,0.04080540826420277,0.60339389260643,1.6581066541690328,0.10090575173219801,0.02503780268036539
7,45,0.6116737195961376,0.040820453436300426,0.6024685409417716,1.6348585331739576,0.10074482195694318,0.025566004515607848
7,46,0.6121385085048735,0.040857881087089,0.5996889742015503,1.6336172060837413,0.10094023236315726,0.026184829214739937
