"","5HTR","ADF/Cofilin","Arhgef8","BMP","Col9a1","Daam","Ddr","Depdc","Dync2h","EPB4.1","Eph","Ets","Farp","FGF4","Fgfr","Foxf","FZD","Gata","Gna-L/S","Gna12/13","Hand","Handr","MRF","NDE","Paxillin","Rab5","Rabep","Rho","RNF149","Rock","TLE","Tol","Tyrosinase","Vangl"
"TVC.Cell.Sphericity.mean",1,1,1,1,1,1,1,1,1,1,1,1,1,0.080630089415402,1,0.0213380630843053,1,0.000963020864728593,1,1,0.00677353202466713,1,0.00170101657869461,1,1,0.164201705698877,1,1,1,0.532047271541428,0.0027532653985738,0.587086505329285,1,1
"TVC.Cell.Sphericity.SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.68282175432283,1,1,1
"TVC.Cell.Volume.frac.min",1,0.402075634727268,0.00126015160150176,5.26928740163393e-06,1,1,1,4.10580601059744e-05,1,1,1,3.25882015090656e-07,1,1,1,0.12697308713031,1,1,1,1,1,4.77098853994229e-12,1,1,1,1,1,0.00116629996998819,1,1,0.00280365013428541,1,1,0.772691383515194
"TVC.Cell.Volume.frac.max",1,0.0215275062296134,1,1,0.456009328486324,0.0376125777494965,1,6.35812284420825e-19,1,1,1,1,1,1,1,9.67524683403771e-08,1,1,0.0886305479944622,1,1,5.90652202751538e-14,0.00628580729346201,0.458867838202914,1,0.243663117743078,1,1,1,1,1,0.0161498179497567,1,1
"TVC.Cell.Volume.frac.mean",1,0.0134811941480172,0.0894089539134082,1,0.855400822760457,0.0216205433727312,1,3.72986182255991e-16,1,1,1,0.0255189645608206,1,1,1,1.10536153794217e-05,1,1,0.403543248663994,1,1,1.677811304862e-15,1,1,1,0.191618602895049,1,0.281814489867139,1,1,0.685457114864824,1,1,1
"TVC.Cell.Volume.frac.SD",1,0.63399446555883,1,1,1,1,1,5.59553373667021e-25,1,1,1,0.0784293152265192,1,1,1,1.09134145081181e-08,1,1,0.495265193285376,1,1,2.60521843837612e-06,0.093857009432922,1,1,1,1,1,1,1,1,0.0016283052590949,1,1
"TVC.Nucleus.Ellipticity..oblate..min",1,1,1,1,1,1,1,0.956145507979813,1,1,1,1,1,0.578217695349526,1,1,1,1,1,1,1,1,0.703779364203004,1,1,1,1,1,0.813796775972631,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..max",1,1,1,1,1,1,1,1,1,1,1,3.64050144641859e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..mean",1,1,1,1,1,1,1,1,1,1,1,0.959835101454772,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..oblate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..prolate..min",0.617004585891747,1,0.294506166979261,1,1,1,1,0.00407617348366083,1,1,0.0221617722920806,0.000313844212655999,1,1,1,0.0168341084876623,1,1,1,1,1,1,1,1,1,1,1,0.147007604346682,1,1,1,1,1,1
"TVC.Nucleus.Ellipticity..prolate..max",1,1,1,0.241774746773431,1,1,1,0.158566408564116,1,1,0.291405373763738,0.234714153436342,1,1,1,1,0.255692019302516,0.48857181864072,1,0.0106440957502106,1,1,0.109363404769456,1,1,1,1,1,1,1,0.19487869051124,0.007939128216591,1,1
"TVC.Nucleus.Ellipticity..prolate..mean",0.760614463481472,1,0.230163702842776,1,1,1,1,0.00341497605887605,1,1,0.00117021732376467,1,1,1,1,0.450803611415452,0.730928603928815,0.201875195719785,1,0.619663208000493,1,1,0.949496665753608,1,1,1,1,0.257283861818784,1,1,0.0283846255519534,0.0222447602065536,1,1
"TVC.Nucleus.Ellipticity..prolate..SD",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
